Grid	Lat/Long hddd.ddddd°
Datum	South American '69

Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	Track actual: 07 JUN 2018 14:52	07-06-2018 14:52:45 (UTC-4)	2:27:03	7.5 km	3 kph	

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course

Trackpoint	S34.98988 W71.25644	07-06-2018 14:52:45 (UTC-4)	178 m
Trackpoint	S34.98987 W71.25644	07-06-2018 14:52:51 (UTC-4)	183 m			1 m	0:00:06	0.8 kph	33° true
Trackpoint	S34.98987 W71.25642	07-06-2018 14:52:57 (UTC-4)	185 m			1 m	0:00:06	0.7 kph	69° true
Trackpoint	S34.98985 W71.25640	07-06-2018 14:53:03 (UTC-4)	186 m			3 m	0:00:06	2 kph	44° true
Trackpoint	S34.98971 W71.25630	07-06-2018 14:53:09 (UTC-4)	188 m			18 m	0:00:06	11 kph	33° true
Trackpoint	S34.98959 W71.25616	07-06-2018 14:53:15 (UTC-4)	188 m			19 m	0:00:06	11 kph	42° true
Trackpoint	S34.98949 W71.25604	07-06-2018 14:53:21 (UTC-4)	188 m			15 m	0:00:06	9 kph	45° true
Trackpoint	S34.98935 W71.25597	07-06-2018 14:53:27 (UTC-4)	188 m			18 m	0:00:06	11 kph	22° true
Trackpoint	S34.98923 W71.25583	07-06-2018 14:53:33 (UTC-4)	188 m			18 m	0:00:06	11 kph	45° true
Trackpoint	S34.98915 W71.25570	07-06-2018 14:53:39 (UTC-4)	187 m			15 m	0:00:06	9 kph	53° true
Trackpoint	S34.98910 W71.25552	07-06-2018 14:53:45 (UTC-4)	186 m			17 m	0:00:06	10 kph	69° true
Trackpoint	S34.98908 W71.25540	07-06-2018 14:53:51 (UTC-4)	185 m			12 m	0:00:06	7 kph	80° true
Trackpoint	S34.98907 W71.25534	07-06-2018 14:53:57 (UTC-4)	183 m			5 m	0:00:06	3 kph	74° true
Trackpoint	S34.98904 W71.25524	07-06-2018 14:54:03 (UTC-4)	182 m			10 m	0:00:06	6 kph	75° true
Trackpoint	S34.98904 W71.25523	07-06-2018 14:54:09 (UTC-4)	182 m			0 m	0:00:06	0.2 kph	59° true
Trackpoint	S34.98905 W71.25523	07-06-2018 14:54:15 (UTC-4)	182 m			1 m	0:00:06	0.5 kph	134° true
Trackpoint	S34.98904 W71.25522	07-06-2018 14:54:21 (UTC-4)	183 m			1 m	0:00:06	0.3 kph	64° true
Trackpoint	S34.98905 W71.25521	07-06-2018 14:54:27 (UTC-4)	184 m			1 m	0:00:06	0.8 kph	127° true
Trackpoint	S34.98905 W71.25521	07-06-2018 14:54:33 (UTC-4)	185 m			0 m	0:00:06	0.1 kph	169° true
Trackpoint	S34.98905 W71.25521	07-06-2018 14:54:39 (UTC-4)	185 m			1 m	0:00:06	0.4 kph	15° true
Trackpoint	S34.98905 W71.25521	07-06-2018 14:54:45 (UTC-4)	186 m			1 m	0:00:06	0.3 kph	295° true
Trackpoint	S34.98905 W71.25522	07-06-2018 14:54:51 (UTC-4)	186 m			0 m	0:00:06	0.1 kph	259° true
Trackpoint	S34.98905 W71.25521	07-06-2018 14:54:57 (UTC-4)	186 m			0 m	0:00:06	0.2 kph	140° true
Trackpoint	S34.98905 W71.25521	07-06-2018 14:55:03 (UTC-4)	186 m			0 m	0:00:06	0.2 kph	125° true
Trackpoint	S34.98904 W71.25520	07-06-2018 14:55:08 (UTC-4)	185 m			2 m	0:00:05	1.1 kph	56° true
Trackpoint	S34.98904 W71.25520	07-06-2018 14:55:14 (UTC-4)	185 m			1 m	0:00:06	0.3 kph	20° true
Trackpoint	S34.98904 W71.25520	07-06-2018 14:55:21 (UTC-4)	185 m			1 m	0:00:07	0.4 kph	242° true
Trackpoint	S34.98904 W71.25520	07-06-2018 14:55:27 (UTC-4)	186 m			0 m	0:00:06	0.0 kph	99° true
Trackpoint	S34.98904 W71.25520	07-06-2018 14:55:33 (UTC-4)	187 m			0 m	0:00:06	0.1 kph	223° true
Trackpoint	S34.98904 W71.25521	07-06-2018 14:55:39 (UTC-4)	187 m			0 m	0:00:06	0.2 kph	325° true
Trackpoint	S34.98904 W71.25521	07-06-2018 14:55:45 (UTC-4)	188 m			0 m	0:00:06	0.2 kph	334° true
