Grid	Lat/Long hddd.ddddd°
Datum	South American '69

Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	Track actual: 12 JUN 2018 09:49	12-06-2018 9:49:50 (UTC-4)	7:24:23	15.1 km	2 kph	

Header	Position	Time	Altitude	Depth	Leg Length	Leg Time	Leg Speed	Leg Course

Trackpoint	S34.98705 W71.24434	12-06-2018 9:49:50 (UTC-4)	212 m
Trackpoint	S34.98705 W71.24427	12-06-2018 9:49:56 (UTC-4)	212 m		6 m	0:00:06	4 kph	95° true
Trackpoint	S34.98705 W71.24422	12-06-2018 9:50:02 (UTC-4)	213 m		4 m	0:00:06	2 kph	80° true
Trackpoint	S34.98706 W71.24422	12-06-2018 9:50:08 (UTC-4)	214 m		1 m	0:00:06	0.7 kph	138° true
Trackpoint	S34.98704 W71.24417	12-06-2018 9:50:13 (UTC-4)	216 m		4 m	0:00:05	3 kph	73° true
Trackpoint	S34.98704 W71.24411	12-06-2018 9:50:20 (UTC-4)	216 m		5 m	0:00:07	3 kph	81° true
Trackpoint	S34.98706 W71.24401	12-06-2018 9:50:26 (UTC-4)	206 m		9 m	0:00:06	6 kph	104° true
Trackpoint	S34.98707 W71.24397	12-06-2018 9:50:32 (UTC-4)	204 m		5 m	0:00:06	3 kph	107° true
Trackpoint	S34.98710 W71.24396	12-06-2018 9:50:37 (UTC-4)	205 m		3 m	0:00:05	2 kph	163° true
Trackpoint	S34.98710 W71.24395	12-06-2018 9:50:44 (UTC-4)	204 m		1 m	0:00:07	0.4 kph	141° true
Trackpoint	S34.98710 W71.24392	12-06-2018 9:50:50 (UTC-4)	205 m		3 m	0:00:06	2 kph	97° true
Trackpoint	S34.98716 W71.24393	12-06-2018 9:50:56 (UTC-4)	205 m		7 m	0:00:06	4 kph	185° true
Trackpoint	S34.98718 W71.24397	12-06-2018 9:51:02 (UTC-4)	205 m		4 m	0:00:06	2 kph	250° true
Trackpoint	S34.98719 W71.24397	12-06-2018 9:51:08 (UTC-4)	202 m		1 m	0:00:06	0.8 kph	172° true
Trackpoint	S34.98718 W71.24394	12-06-2018 9:51:14 (UTC-4)	201 m		3 m	0:00:06	2 kph	76° true
Trackpoint	S34.98718 W71.24392	12-06-2018 9:51:20 (UTC-4)	201 m		2 m	0:00:06	1.2 kph	66° true
Trackpoint	S34.98717 W71.24389	12-06-2018 9:51:25 (UTC-4)	202 m		3 m	0:00:05	2 kph	71° true
Trackpoint	S34.98717 W71.24388	12-06-2018 9:51:32 (UTC-4)	204 m		1 m	0:00:07	0.3 kph	138° true
Trackpoint	S34.98717 W71.24388	12-06-2018 9:51:38 (UTC-4)	204 m		0 m	0:00:06	0.1 kph	142° true
Trackpoint	S34.98717 W71.24388	12-06-2018 9:51:44 (UTC-4)	204 m		0 m	0:00:06	0.1 kph	77° true
Trackpoint	S34.98717 W71.24388	12-06-2018 9:51:50 (UTC-4)	204 m		0 m	0:00:06	0.1 kph	6° true
Trackpoint	S34.98716 W71.24387	12-06-2018 9:51:56 (UTC-4)	205 m		1 m	0:00:06	0.7 kph	62° true
Trackpoint	S34.98715 W71.24385	12-06-2018 9:52:01 (UTC-4)	205 m		2 m	0:00:05	2 kph	46° true
Trackpoint	S34.98715 W71.24385	12-06-2018 9:52:08 (UTC-4)	206 m		0 m	0:00:07	0.1 kph	154° true
Trackpoint	S34.98715 W71.24384	12-06-2018 9:52:14 (UTC-4)	206 m		0 m	0:00:06	0.3 kph	115° true
Trackpoint	S34.98715 W71.24381	12-06-2018 9:52:20 (UTC-4)	206 m		3 m	0:00:06	2 kph	82° true
Trackpoint	S34.98714 W71.24374	12-06-2018 9:52:26 (UTC-4)	206 m		7 m	0:00:06	4 kph	83° true
Trackpoint	S34.98717 W71.24372	12-06-2018 9:52:32 (UTC-4)	206 m		3 m	0:00:06	2 kph	152° true
Trackpoint	S34.98717 W71.24373	12-06-2018 9:52:38 (UTC-4)	206 m		0 m	0:00:06	0.1 kph	215° true
Trackpoint	S34.98717 W71.24373	12-06-2018 9:52:44 (UTC-4)	206 m		0 m	0:00:06	0.2 kph	322° true
Trackpoint	S34.97610 W71.23491	12-06-2018 11:11:21 (UTC-4)	204 m		1.5 km	1:18:37	1.1 kph	33° true
Trackpoint	S34.97627 W71.23495	12-06-2018 11:11:27 (UTC-4)	201 m		20 m	0:00:06	12 kph	193° true
Trackpoint	S34.97642 W71.23498	12-06-2018 11:11:33 (UTC-4)	202 m		17 m	0:00:06	10 kph	189° true
Trackpoint	S34.97652 W71.23500	12-06-2018 11:11:39 (UTC-4)	201 m		11 m	0:00:06	7 kph	188° true
Trackpoint	S34.97654 W71.23500	12-06-2018 11:11:45 (UTC-4)	201 m		1 m	0:00:06	0.9 kph	174° true
Trackpoint	S34.97653 W71.23501	12-06-2018 11:11:51 (UTC-4)	200 m		1 m	0:00:06	0.7 kph	321° true
Trackpoint	S34.97653 W71.23501	12-06-2018 11:11:57 (UTC-4)	200 m		0 m	0:00:06	0.3 kph	182° true
Trackpoint	S34.97655 W71.23501	12-06-2018 11:12:03 (UTC-4)	199 m		2 m	0:00:06	1.0 kph	201° true
Trackpoint	S34.97657 W71.23502	12-06-2018 11:12:09 (UTC-4)	200 m		3 m	0:00:06	2 kph	189° true
Trackpoint	S34.97664 W71.23501	12-06-2018 11:12:15 (UTC-4)	200 m		8 m	0:00:06	5 kph	174° true
Trackpoint	S34.97673 W71.23488	12-06-2018 11:12:21 (UTC-4)	200 m		15 m	0:00:06	9 kph	129° true
Trackpoint	S34.97681 W71.23472	12-06-2018 11:12:27 (UTC-4)	200 m		17 m	0:00:06	10 kph	123° true
Trackpoint	S34.97697 W71.23470	12-06-2018 11:12:33 (UTC-4)	201 m		17 m	0:00:06	10 kph	174° true
Trackpoint	S34.97714 W71.23467	12-06-2018 11:12:39 (UTC-4)	202 m		19 m	0:00:06	11 kph	173° true
Trackpoint	S34.97732 W71.23464	12-06-2018 11:12:45 (UTC-4)	203 m		20 m	0:00:06	12 kph	173° true
Trackpoint	S34.97750 W71.23462	12-06-2018 11:12:51 (UTC-4)	203 m		20 m	0:00:06	12 kph	174° true
Trackpoint	S34.97771 W71.23461	12-06-2018 11:12:57 (UTC-4)	204 m		23 m	0:00:06	14 kph	177° true
Trackpoint	S34.97791 W71.23458	12-06-2018 11:13:03 (UTC-4)	203 m		23 m	0:00:06	14 kph	175° true
Trackpoint	S34.97811 W71.23457	12-06-2018 11:13:09 (UTC-4)	203 m		22 m	0:00:06	13 kph	176° true
Trackpoint	S34.97830 W71.23454	12-06-2018 11:13:15 (UTC-4)	204 m		22 m	0:00:06	13 kph	174° true
Trackpoint	S34.97851 W71.23452	12-06-2018 11:13:21 (UTC-4)	204 m		23 m	0:00:06	14 kph	175° true
Trackpoint	S34.97869 W71.23449	12-06-2018 11:13:27 (UTC-4)	205 m		21 m	0:00:06	12 kph	173° true
Trackpoint	S34.97889 W71.23446	12-06-2018 11:13:33 (UTC-4)	206 m		22 m	0:00:06	13 kph	172° true
Trackpoint	S34.97907 W71.23444	12-06-2018 11:13:39 (UTC-4)	207 m		21 m	0:00:06	12 kph	177° true
Trackpoint	S34.97924 W71.23443	12-06-2018 11:13:45 (UTC-4)	208 m		19 m	0:00:06	11 kph	176° true
Trackpoint	S34.97940 W71.23441	12-06-2018 11:13:51 (UTC-4)	208 m		18 m	0:00:06	11 kph	175° true
Trackpoint	S34.97955 W71.23440	12-06-2018 11:13:57 (UTC-4)	208 m		17 m	0:00:06	10 kph	175° true
Trackpoint	S34.97970 W71.23439	12-06-2018 11:14:03 (UTC-4)	208 m		17 m	0:00:06	10 kph	176° true
Trackpoint	S34.97982 W71.23439	12-06-2018 11:14:09 (UTC-4)	207 m		13 m	0:00:06	8 kph	181° true
Trackpoint	S34.97993 W71.23439	12-06-2018 11:14:15 (UTC-4)	206 m		12 m	0:00:06	7 kph	181° true
Trackpoint	S34.98004 W71.23438	12-06-2018 11:14:21 (UTC-4)	206 m		12 m	0:00:06	7 kph	178° true
Trackpoint	S34.98008 W71.23439	12-06-2018 11:14:27 (UTC-4)	205 m		5 m	0:00:06	3 kph	184° true
Trackpoint	S34.98009 W71.23438	12-06-2018 11:14:33 (UTC-4)	206 m		2 m	0:00:06	0.9 kph	160° true
Trackpoint	S34.98014 W71.23443	12-06-2018 11:14:39 (UTC-4)	203 m		7 m	0:00:06	4 kph	224° true
Trackpoint	S34.98014 W71.23453	12-06-2018 11:14:45 (UTC-4)	203 m		9 m	0:00:06	5 kph	270° true
Trackpoint	S34.98014 W71.23458	12-06-2018 11:14:51 (UTC-4)	204 m		4 m	0:00:06	3 kph	262° true
Trackpoint	S34.98015 W71.23458	12-06-2018 11:14:57 (UTC-4)	208 m		1 m	0:00:06	0.3 kph	203° true
Trackpoint	S34.98016 W71.23458	12-06-2018 11:15:03 (UTC-4)	210 m		1 m	0:00:06	0.4 kph	174° true
Trackpoint	S34.98016 W71.23458	12-06-2018 11:15:09 (UTC-4)	210 m		0 m	0:00:06	0.2 kph	105° true
Trackpoint	S34.98016 W71.23457	12-06-2018 11:15:15 (UTC-4)	211 m		0 m	0:00:06	0.3 kph	86° true
Trackpoint	S34.98016 W71.23457	12-06-2018 11:15:21 (UTC-4)	212 m		0 m	0:00:06	0.1 kph	142° true
Trackpoint	S34.98016 W71.23457	12-06-2018 11:15:27 (UTC-4)	212 m		0 m	0:00:06	0.0 kph	239° true
Trackpoint	S34.98015 W71.23457	12-06-2018 11:15:33 (UTC-4)	212 m		1 m	0:00:06	0.4 kph	317° true
Trackpoint	S34.98015 W71.23458	12-06-2018 11:15:39 (UTC-4)	213 m		0 m	0:00:06	0.1 kph	233° true
Trackpoint	S34.98016 W71.23458	12-06-2018 11:15:45 (UTC-4)	214 m		0 m	0:00:06	0.2 kph	208° true
Trackpoint	S34.98016 W71.23458	12-06-2018 11:15:51 (UTC-4)	215 m		0 m	0:00:06	0.1 kph	282° true
Trackpoint	S34.98016 W71.23460	12-06-2018 11:15:57 (UTC-4)	214 m		2 m	0:00:06	1.1 kph	265° true
Trackpoint	S34.98016 W71.23468	12-06-2018 11:16:03 (UTC-4)	211 m		7 m	0:00:06	4 kph	272° true
Trackpoint	S34.98017 W71.23473	12-06-2018 11:16:09 (UTC-4)	210 m		5 m	0:00:06	3 kph	254° true
Trackpoint	S34.98017 W71.23473	12-06-2018 11:16:15 (UTC-4)	210 m		0 m	0:00:06	0.3 kph	270° true
Trackpoint	S34.98017 W71.23474	12-06-2018 11:16:21 (UTC-4)	210 m		0 m	0:00:06	0.1 kph	281° true
Trackpoint	S34.98017 W71.23476	12-06-2018 11:16:27 (UTC-4)	210 m		2 m	0:00:06	1.1 kph	269° true
Trackpoint	S34.98017 W71.23477	12-06-2018 11:16:33 (UTC-4)	209 m		1 m	0:00:06	0.6 kph	259° true
Trackpoint	S34.98017 W71.23478	12-06-2018 11:16:39 (UTC-4)	210 m		1 m	0:00:06	0.9 kph	275° true
Trackpoint	S34.98017 W71.23479	12-06-2018 11:16:45 (UTC-4)	209 m		1 m	0:00:06	0.4 kph	262° true
Trackpoint	S34.98018 W71.23480	12-06-2018 11:16:51 (UTC-4)	209 m		1 m	0:00:06	0.8 kph	214° true
Trackpoint	S34.98019 W71.23479	12-06-2018 11:16:57 (UTC-4)	209 m		1 m	0:00:06	0.6 kph	163° true
Trackpoint	S34.98020 W71.23477	12-06-2018 11:17:03 (UTC-4)	207 m		2 m	0:00:06	1.3 kph	109° true
Trackpoint	S34.98017 W71.23471	12-06-2018 11:17:09 (UTC-4)	203 m		7 m	0:00:06	4 kph	64° true
Trackpoint	S34.98015 W71.23467	12-06-2018 11:17:15 (UTC-4)	202 m		4 m	0:00:06	2 kph	57° true
Trackpoint	S34.98015 W71.23466	12-06-2018 11:17:21 (UTC-4)	202 m		1 m	0:00:06	0.6 kph	76° true
Trackpoint	S34.98015 W71.23466	12-06-2018 11:17:27 (UTC-4)	203 m		1 m	0:00:06	0.4 kph	154° true
Trackpoint	S34.98014 W71.23466	12-06-2018 11:17:33 (UTC-4)	203 m		1 m	0:00:06	0.6 kph	353° true
Trackpoint	S34.98014 W71.23466	12-06-2018 11:17:39 (UTC-4)	204 m		0 m	0:00:06	0.1 kph	337° true
Trackpoint	S34.98014 W71.23466	12-06-2018 11:17:45 (UTC-4)	204 m		0 m	0:00:06	0.3 kph	353° true
Trackpoint	S34.98014 W71.23466	12-06-2018 11:17:51 (UTC-4)	205 m		0 m	0:00:06	0.1 kph	45° true
Trackpoint	S34.98014 W71.23465	12-06-2018 11:17:57 (UTC-4)	208 m		1 m	0:00:06	0.7 kph	107° true
Trackpoint	S34.98014 W71.23463	12-06-2018 11:18:03 (UTC-4)	210 m		1 m	0:00:06	0.9 kph	114° true
Trackpoint	S34.98016 W71.23460	12-06-2018 11:18:09 (UTC-4)	210 m		3 m	0:00:06	2 kph	115° true
Trackpoint	S34.98014 W71.23455	12-06-2018 11:18:15 (UTC-4)	207 m		5 m	0:00:06	3 kph	75° true
Trackpoint	S34.98015 W71.23450	12-06-2018 11:18:21 (UTC-4)	205 m		4 m	0:00:06	2 kph	94° true
Trackpoint	S34.98016 W71.23438	12-06-2018 11:18:27 (UTC-4)	203 m		11 m	0:00:06	7 kph	96° true
Trackpoint	S34.98019 W71.23430	12-06-2018 11:18:33 (UTC-4)	204 m		8 m	0:00:06	5 kph	114° true
