Grid	Lat/Long hddd.ddddd°
Datum	South American '69

Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	Track actual: 12 JUL 2018 09:28	12-07-2018 9:28:41 (UTC-4)	5:03:06	19.7 km	4 kph	

Header	Position	Time	Altitude	Depth	Leg Length	Leg Time	Leg Speed	Leg Course

Trackpoint	S34.97721 W71.25652	12-07-2018 9:28:41 (UTC-4)	191 m
Trackpoint	S34.97723 W71.25646	12-07-2018 9:28:47 (UTC-4)	191 m		5 m	0:00:06	3 kph	110° true
Trackpoint	S34.97722 W71.25649	12-07-2018 9:28:53 (UTC-4)	191 m		3 m	0:00:06	2 kph	279° true
Trackpoint	S34.97724 W71.25650	12-07-2018 9:28:59 (UTC-4)	191 m		2 m	0:00:06	1.2 kph	213° true
Trackpoint	S34.97723 W71.25648	12-07-2018 9:29:05 (UTC-4)	192 m		2 m	0:00:06	1.3 kph	48° true
Trackpoint	S34.97722 W71.25644	12-07-2018 9:29:11 (UTC-4)	192 m		4 m	0:00:06	2 kph	74° true
Trackpoint	S34.97721 W71.25642	12-07-2018 9:29:17 (UTC-4)	192 m		2 m	0:00:06	1.2 kph	80° true
Trackpoint	S34.97721 W71.25640	12-07-2018 9:29:23 (UTC-4)	193 m		2 m	0:00:06	1.0 kph	74° true
Trackpoint	S34.97720 W71.25638	12-07-2018 9:29:29 (UTC-4)	193 m		2 m	0:00:06	1.0 kph	71° true
Trackpoint	S34.97719 W71.25638	12-07-2018 9:29:35 (UTC-4)	193 m		1 m	0:00:06	0.7 kph	19° true
Trackpoint	S34.97718 W71.25640	12-07-2018 9:29:41 (UTC-4)	196 m		3 m	0:00:06	2 kph	311° true
Trackpoint	S34.97717 W71.25641	12-07-2018 9:29:47 (UTC-4)	197 m		1 m	0:00:06	0.7 kph	321° true
Trackpoint	S34.97718 W71.25641	12-07-2018 9:29:53 (UTC-4)	197 m		1 m	0:00:06	0.5 kph	160° true
Trackpoint	S34.97718 W71.25640	12-07-2018 9:29:59 (UTC-4)	196 m		1 m	0:00:06	0.4 kph	152° true
Trackpoint	S34.97718 W71.25639	12-07-2018 9:30:05 (UTC-4)	196 m		1 m	0:00:06	0.8 kph	77° true
Trackpoint	S34.97717 W71.25638	12-07-2018 9:30:11 (UTC-4)	196 m		1 m	0:00:06	0.5 kph	50° true
Trackpoint	S34.97716 W71.25638	12-07-2018 9:30:17 (UTC-4)	197 m		1 m	0:00:06	0.6 kph	0° true
Trackpoint	S34.97717 W71.25641	12-07-2018 9:30:23 (UTC-4)	197 m		2 m	0:00:06	1.4 kph	269° true
Trackpoint	S34.97718 W71.25643	12-07-2018 9:30:29 (UTC-4)	199 m		3 m	0:00:06	2 kph	232° true
Trackpoint	S34.97719 W71.25644	12-07-2018 9:30:35 (UTC-4)	200 m		1 m	0:00:06	0.6 kph	219° true
Trackpoint	S34.97719 W71.25645	12-07-2018 9:30:41 (UTC-4)	201 m		1 m	0:00:06	0.5 kph	239° true
Trackpoint	S34.97719 W71.25645	12-07-2018 9:30:47 (UTC-4)	201 m		1 m	0:00:06	0.5 kph	282° true
Trackpoint	S34.97719 W71.25646	12-07-2018 9:30:53 (UTC-4)	202 m		1 m	0:00:06	0.5 kph	269° true
Trackpoint	S34.97719 W71.25647	12-07-2018 9:30:59 (UTC-4)	202 m		1 m	0:00:06	0.5 kph	241° true
Trackpoint	S34.97719 W71.25648	12-07-2018 9:31:05 (UTC-4)	203 m		1 m	0:00:06	0.4 kph	245° true
Trackpoint	S34.97720 W71.25648	12-07-2018 9:31:11 (UTC-4)	203 m		1 m	0:00:06	0.4 kph	248° true
Trackpoint	S34.97720 W71.25649	12-07-2018 9:31:17 (UTC-4)	204 m		0 m	0:00:06	0.2 kph	261° true
Trackpoint	S34.97720 W71.25649	12-07-2018 9:31:23 (UTC-4)	204 m		0 m	0:00:06	0.2 kph	337° true
Trackpoint	S34.97719 W71.25649	12-07-2018 9:31:29 (UTC-4)	204 m		0 m	0:00:06	0.2 kph	0° true
Trackpoint	S34.97719 W71.25649	12-07-2018 9:31:35 (UTC-4)	203 m		0 m	0:00:06	0.2 kph	29° true
Trackpoint	S34.97719 W71.25649	12-07-2018 9:31:41 (UTC-4)	203 m		0 m	0:00:06	0.1 kph	119° true
Trackpoint	S34.97719 W71.25649	12-07-2018 9:31:47 (UTC-4)	202 m		0 m	0:00:06	0.1 kph	147° true
Trackpoint	S34.97719 W71.25649	12-07-2018 9:31:53 (UTC-4)	202 m		0 m	0:00:06	0.3 kph	181° true
Trackpoint	S34.97720 W71.25650	12-07-2018 9:31:59 (UTC-4)	204 m		2 m	0:00:06	1.1 kph	232° true
Trackpoint	S34.97721 W71.25650	12-07-2018 9:32:05 (UTC-4)	204 m		0 m	0:00:06	0.3 kph	187° true
Trackpoint	S34.97722 W71.25649	12-07-2018 9:32:11 (UTC-4)	204 m		1 m	0:00:06	0.8 kph	124° true
Trackpoint	S34.97722 W71.25648	12-07-2018 9:32:17 (UTC-4)	204 m		1 m	0:00:06	0.5 kph	122° true
