Grid	Lat/Long hddd.ddddd°
Datum	South American '69

Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	Track actual: 08 JUL 2018 15:12	08-07-2018 15:12:16 (UTC-4)	16:39:48	6.7 km	0.4 kph	

Header	Position	Time	Altitude	Depth	Leg Length	Leg Time	Leg Speed	Leg Course

Trackpoint	S34.97725 W71.25649	08-07-2018 15:12:16 (UTC-4)	198 m
Trackpoint	S34.97725 W71.25649	08-07-2018 15:12:22 (UTC-4)	198 m		0 m	0:00:06	0.0 kph	0° true
Trackpoint	S34.97725 W71.25649	08-07-2018 15:12:28 (UTC-4)	198 m		0 m	0:00:06	0.1 kph	123° true
Trackpoint	S34.97725 W71.25649	08-07-2018 15:12:34 (UTC-4)	198 m		0 m	0:00:06	0.0 kph	270° true
Trackpoint	S34.97725 W71.25649	08-07-2018 15:12:40 (UTC-4)	198 m		0 m	0:00:06	0.1 kph	283° true
Trackpoint	S34.97725 W71.25649	08-07-2018 15:12:46 (UTC-4)	198 m		0 m	0:00:06	0.1 kph	300° true
Trackpoint	S34.97725 W71.25649	08-07-2018 15:12:52 (UTC-4)	198 m		0 m	0:00:06	0.1 kph	290° true
Trackpoint	S34.97725 W71.25649	08-07-2018 15:12:58 (UTC-4)	198 m		0 m	0:00:06	0.0 kph	281° true
Trackpoint	S34.97725 W71.25649	08-07-2018 15:13:04 (UTC-4)	198 m		0 m	0:00:06	0.0 kph	76° true
Trackpoint	S34.97725 W71.25649	08-07-2018 15:13:10 (UTC-4)	198 m		0 m	0:00:06	0.1 kph	90° true
Trackpoint	S34.97725 W71.25649	08-07-2018 15:13:16 (UTC-4)	199 m		0 m	0:00:06	0.0 kph	212° true
Trackpoint	S34.97725 W71.25649	08-07-2018 15:13:22 (UTC-4)	199 m		0 m	0:00:06	0.1 kph	185° true
Trackpoint	S34.97725 W71.25649	08-07-2018 15:13:28 (UTC-4)	199 m		0 m	0:00:06	0.0 kph	127° true
Trackpoint	S34.97725 W71.25649	08-07-2018 15:13:34 (UTC-4)	199 m		0 m	0:00:06	0.1 kph	125° true
Trackpoint	S34.97726 W71.25649	08-07-2018 15:13:40 (UTC-4)	199 m		0 m	0:00:06	0.1 kph	136° true
Trackpoint	S34.97726 W71.25649	08-07-2018 15:13:46 (UTC-4)	199 m		0 m	0:00:06	0.1 kph	176° true
Trackpoint	S34.97726 W71.25649	08-07-2018 15:13:52 (UTC-4)	199 m		0 m	0:00:06	0.0 kph	165° true
Trackpoint	S34.97726 W71.25649	08-07-2018 15:13:58 (UTC-4)	199 m		0 m	0:00:06	0.1 kph	124° true
Trackpoint	S34.97726 W71.25649	08-07-2018 15:14:04 (UTC-4)	199 m		0 m	0:00:06	0.0 kph	48° true
