Grid	Lat/Long hddd.ddddd°
Datum	South American '69

Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	Track actual: 11 JUL 2018 11:00	11-07-2018 11:00:05 (UTC-4)	6:00:16	12.9 km	2 kph	

Header	Position	Time	Altitude	Depth	Leg Length	Leg Time	Leg Speed	Leg Course

Trackpoint	S34.99227 W71.25487	11-07-2018 11:00:05 (UTC-4)	194 m
Trackpoint	S34.99227 W71.25486	11-07-2018 11:00:11 (UTC-4)	194 m		1 m	0:00:06	0.6 kph	108° true
Trackpoint	S34.99227 W71.25485	11-07-2018 11:00:17 (UTC-4)	195 m		1 m	0:00:06	0.3 kph	98° true
Trackpoint	S34.99222 W71.25500	11-07-2018 11:00:23 (UTC-4)	194 m		15 m	0:00:06	9 kph	294° true
Trackpoint	S34.99211 W71.25506	11-07-2018 11:00:29 (UTC-4)	193 m		13 m	0:00:06	8 kph	338° true
Trackpoint	S34.99200 W71.25499	11-07-2018 11:00:35 (UTC-4)	193 m		14 m	0:00:06	8 kph	28° true
Trackpoint	S34.99192 W71.25493	11-07-2018 11:00:41 (UTC-4)	194 m		11 m	0:00:06	6 kph	33° true
Trackpoint	S34.99192 W71.25480	11-07-2018 11:00:47 (UTC-4)	195 m		12 m	0:00:06	7 kph	94° true
Trackpoint	S34.99196 W71.25466	11-07-2018 11:00:53 (UTC-4)	197 m		13 m	0:00:06	8 kph	109° true
Trackpoint	S34.99196 W71.25454	11-07-2018 11:00:59 (UTC-4)	198 m		12 m	0:00:06	7 kph	90° true
Trackpoint	S34.99197 W71.25451	11-07-2018 11:01:04 (UTC-4)	197 m		3 m	0:00:05	2 kph	111° true
Trackpoint	S34.99198 W71.25450	11-07-2018 11:01:11 (UTC-4)	197 m		1 m	0:00:07	0.5 kph	142° true
Trackpoint	S34.99197 W71.25450	11-07-2018 11:01:16 (UTC-4)	197 m		0 m	0:00:05	0.3 kph	2° true
Trackpoint	S34.99196 W71.25450	11-07-2018 11:01:23 (UTC-4)	197 m		1 m	0:00:07	0.6 kph	355° true
Trackpoint	S34.99196 W71.25451	11-07-2018 11:01:29 (UTC-4)	197 m		1 m	0:00:06	0.3 kph	331° true
Trackpoint	S34.99196 W71.25451	11-07-2018 11:01:35 (UTC-4)	197 m		0 m	0:00:06	0.2 kph	339° true
Trackpoint	S34.99195 W71.25451	11-07-2018 11:01:41 (UTC-4)	197 m		0 m	0:00:06	0.2 kph	3° true
Trackpoint	S34.99195 W71.25451	11-07-2018 11:01:47 (UTC-4)	197 m		0 m	0:00:06	0.2 kph	2° true
Trackpoint	S34.99195 W71.25451	11-07-2018 11:01:53 (UTC-4)	197 m		0 m	0:00:06	0.2 kph	305° true
Trackpoint	S34.99195 W71.25451	11-07-2018 11:01:59 (UTC-4)	197 m		0 m	0:00:06	0.2 kph	2° true
Trackpoint	S34.99194 W71.25451	11-07-2018 11:02:05 (UTC-4)	197 m		0 m	0:00:06	0.1 kph	24° true
Trackpoint	S34.99194 W71.25451	11-07-2018 11:02:11 (UTC-4)	197 m		0 m	0:00:06	0.1 kph	39° true
Trackpoint	S34.99194 W71.25451	11-07-2018 11:02:17 (UTC-4)	197 m		0 m	0:00:06	0.1 kph	118° true
Trackpoint	S34.99194 W71.25451	11-07-2018 11:02:23 (UTC-4)	197 m		0 m	0:00:06	0.0 kph	104° true
Trackpoint	S34.99193 W71.25460	11-07-2018 11:02:29 (UTC-4)	197 m		8 m	0:00:06	5 kph	283° true
Trackpoint	S34.99186 W71.25480	11-07-2018 11:02:35 (UTC-4)	196 m		20 m	0:00:06	12 kph	291° true
Trackpoint	S34.99173 W71.25482	11-07-2018 11:02:41 (UTC-4)	197 m		15 m	0:00:06	9 kph	354° true
Trackpoint	S34.99160 W71.25474	11-07-2018 11:02:47 (UTC-4)	197 m		16 m	0:00:06	9 kph	25° true
Trackpoint	S34.99148 W71.25467	11-07-2018 11:02:53 (UTC-4)	197 m		15 m	0:00:06	9 kph	28° true
Trackpoint	S34.99143 W71.25463	11-07-2018 11:02:59 (UTC-4)	198 m		6 m	0:00:06	4 kph	28° true
Trackpoint	S34.99140 W71.25462	11-07-2018 11:03:05 (UTC-4)	199 m		3 m	0:00:06	2 kph	16° true
Trackpoint	S34.99128 W71.25455	11-07-2018 11:03:11 (UTC-4)	198 m		15 m	0:00:06	9 kph	28° true
Trackpoint	S34.99116 W71.25446	11-07-2018 11:03:17 (UTC-4)	199 m		16 m	0:00:06	10 kph	29° true
Trackpoint	S34.99103 W71.25438	11-07-2018 11:03:23 (UTC-4)	199 m		17 m	0:00:06	10 kph	29° true
Trackpoint	S34.99090 W71.25429	11-07-2018 11:03:29 (UTC-4)	199 m		16 m	0:00:06	10 kph	30° true
Trackpoint	S34.99077 W71.25421	11-07-2018 11:03:35 (UTC-4)	199 m		16 m	0:00:06	10 kph	26° true
Trackpoint	S34.99063 W71.25418	11-07-2018 11:03:41 (UTC-4)	199 m		16 m	0:00:06	9 kph	10° true
Trackpoint	S34.99059 W71.25418	11-07-2018 11:03:47 (UTC-4)	199 m		4 m	0:00:06	2 kph	357° true
Trackpoint	S34.99059 W71.25419	11-07-2018 11:03:53 (UTC-4)	200 m		1 m	0:00:06	0.5 kph	272° true
Trackpoint	S34.99050 W71.25414	11-07-2018 11:03:59 (UTC-4)	200 m		12 m	0:00:06	7 kph	22° true
Trackpoint	S34.99037 W71.25407	11-07-2018 11:04:05 (UTC-4)	200 m		16 m	0:00:06	9 kph	25° true
Trackpoint	S34.99024 W71.25400	11-07-2018 11:04:11 (UTC-4)	199 m		16 m	0:00:06	10 kph	24° true
Trackpoint	S34.99016 W71.25394	11-07-2018 11:04:17 (UTC-4)	199 m		11 m	0:00:06	6 kph	28° true
Trackpoint	S34.99007 W71.25388	11-07-2018 11:04:23 (UTC-4)	199 m		11 m	0:00:06	7 kph	29° true
Trackpoint	S34.98996 W71.25382	11-07-2018 11:04:29 (UTC-4)	200 m		13 m	0:00:06	8 kph	29° true
Trackpoint	S34.98985 W71.25375	11-07-2018 11:04:35 (UTC-4)	199 m		14 m	0:00:06	8 kph	25° true
Trackpoint	S34.98973 W71.25367	11-07-2018 11:04:41 (UTC-4)	199 m		15 m	0:00:06	9 kph	28° true
Trackpoint	S34.98962 W71.25361	11-07-2018 11:04:47 (UTC-4)	199 m		13 m	0:00:06	8 kph	26° true
Trackpoint	S34.98962 W71.25361	11-07-2018 11:04:53 (UTC-4)	199 m		1 m	0:00:06	0.5 kph	355° true
