Grid	Lat/Long hddd.ddddd°
Datum	South American '69

Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	Track actual: 10 JUL 2018 12:09	10-07-2018 12:09:35 (UTC-4)	2:30:14	9.4 km	4 kph	

Header	Position	Time	Altitude	Depth	Leg Length	Leg Time	Leg Speed	Leg Course

Trackpoint	S34.97041 W71.24895	10-07-2018 12:09:35 (UTC-4)	190 m
Trackpoint	S34.97051 W71.24896	10-07-2018 12:09:41 (UTC-4)	190 m		11 m	0:00:06	7 kph	184° true
Trackpoint	S34.97058 W71.24910	10-07-2018 12:09:47 (UTC-4)	189 m		15 m	0:00:06	9 kph	241° true
Trackpoint	S34.97070 W71.24915	10-07-2018 12:09:53 (UTC-4)	189 m		14 m	0:00:06	9 kph	198° true
Trackpoint	S34.97085 W71.24914	10-07-2018 12:09:59 (UTC-4)	189 m		16 m	0:00:06	10 kph	179° true
Trackpoint	S34.97097 W71.24914	10-07-2018 12:10:05 (UTC-4)	189 m		13 m	0:00:06	8 kph	179° true
Trackpoint	S34.97108 W71.24919	10-07-2018 12:10:11 (UTC-4)	177 m		13 m	0:00:06	8 kph	200° true
Trackpoint	S34.97112 W71.24912	10-07-2018 12:10:17 (UTC-4)	187 m		8 m	0:00:06	5 kph	132° true
Trackpoint	S34.97113 W71.24911	10-07-2018 12:10:23 (UTC-4)	188 m		2 m	0:00:06	1.0 kph	137° true
Trackpoint	S34.97120 W71.24913	10-07-2018 12:10:29 (UTC-4)	190 m		8 m	0:00:06	5 kph	191° true
Trackpoint	S34.97131 W71.24913	10-07-2018 12:10:35 (UTC-4)	192 m		12 m	0:00:06	7 kph	180° true
Trackpoint	S34.97131 W71.24914	10-07-2018 12:10:41 (UTC-4)	190 m		1 m	0:00:06	0.8 kph	265° true
Trackpoint	S34.97130 W71.24913	10-07-2018 12:10:47 (UTC-4)	189 m		1 m	0:00:06	0.8 kph	30° true
Trackpoint	S34.97126 W71.24915	10-07-2018 12:10:53 (UTC-4)	188 m		5 m	0:00:06	3 kph	349° true
Trackpoint	S34.97113 W71.24917	10-07-2018 12:10:59 (UTC-4)	189 m		14 m	0:00:06	8 kph	351° true
Trackpoint	S34.97100 W71.24920	10-07-2018 12:11:05 (UTC-4)	189 m		15 m	0:00:06	9 kph	348° true
Trackpoint	S34.97087 W71.24921	10-07-2018 12:11:11 (UTC-4)	189 m		15 m	0:00:06	9 kph	0° true
Trackpoint	S34.97073 W71.24920	10-07-2018 12:11:17 (UTC-4)	188 m		15 m	0:00:06	9 kph	2° true
Trackpoint	S34.97060 W71.24921	10-07-2018 12:11:23 (UTC-4)	187 m		14 m	0:00:06	9 kph	358° true
Trackpoint	S34.97058 W71.24934	10-07-2018 12:11:29 (UTC-4)	188 m		13 m	0:00:06	8 kph	282° true
Trackpoint	S34.97059 W71.24953	10-07-2018 12:11:35 (UTC-4)	190 m		17 m	0:00:06	10 kph	267° true
Trackpoint	S34.97060 W71.24971	10-07-2018 12:11:41 (UTC-4)	191 m		17 m	0:00:06	10 kph	266° true
Trackpoint	S34.97060 W71.24990	10-07-2018 12:11:47 (UTC-4)	191 m		17 m	0:00:06	10 kph	267° true
Trackpoint	S34.97062 W71.25008	10-07-2018 12:11:53 (UTC-4)	191 m		16 m	0:00:06	10 kph	266° true
Trackpoint	S34.97061 W71.25025	10-07-2018 12:11:59 (UTC-4)	192 m		16 m	0:00:06	9 kph	272° true
Trackpoint	S34.97071 W71.25031	10-07-2018 12:12:05 (UTC-4)	191 m		12 m	0:00:06	7 kph	205° true
Trackpoint	S34.97071 W71.25031	10-07-2018 12:12:11 (UTC-4)	191 m		1 m	0:00:06	0.3 kph	246° true
Trackpoint	S34.97076 W71.25031	10-07-2018 12:12:17 (UTC-4)	191 m		6 m	0:00:06	4 kph	180° true
Trackpoint	S34.97090 W71.25031	10-07-2018 12:12:23 (UTC-4)	192 m		15 m	0:00:06	9 kph	179° true
Trackpoint	S34.97104 W71.25031	10-07-2018 12:12:29 (UTC-4)	192 m		16 m	0:00:06	10 kph	180° true
Trackpoint	S34.97119 W71.25033	10-07-2018 12:12:35 (UTC-4)	193 m		16 m	0:00:06	10 kph	187° true
Trackpoint	S34.97133 W71.25032	10-07-2018 12:12:41 (UTC-4)	194 m		16 m	0:00:06	10 kph	177° true
Trackpoint	S34.97147 W71.25033	10-07-2018 12:12:47 (UTC-4)	194 m		15 m	0:00:06	9 kph	184° true
Trackpoint	S34.97157 W71.25035	10-07-2018 12:12:53 (UTC-4)	193 m		12 m	0:00:06	7 kph	187° true
Trackpoint	S34.97169 W71.25034	10-07-2018 12:12:59 (UTC-4)	192 m		13 m	0:00:06	8 kph	178° true
Trackpoint	S34.97181 W71.25035	10-07-2018 12:13:05 (UTC-4)	194 m		13 m	0:00:06	8 kph	183° true
Trackpoint	S34.97192 W71.25036	10-07-2018 12:13:11 (UTC-4)	194 m		13 m	0:00:06	8 kph	184° true
Trackpoint	S34.97202 W71.25035	10-07-2018 12:13:17 (UTC-4)	195 m		11 m	0:00:06	7 kph	173° true
Trackpoint	S34.97202 W71.25034	10-07-2018 12:13:23 (UTC-4)	195 m		1 m	0:00:06	0.4 kph	146° true
Trackpoint	S34.97208 W71.25035	10-07-2018 12:13:29 (UTC-4)	197 m		6 m	0:00:06	4 kph	186° true
Trackpoint	S34.97217 W71.25035	10-07-2018 12:13:35 (UTC-4)	198 m		10 m	0:00:06	6 kph	177° true
Trackpoint	S34.97217 W71.25036	10-07-2018 12:13:41 (UTC-4)	198 m		1 m	0:00:06	0.6 kph	254° true
Trackpoint	S34.97219 W71.25037	10-07-2018 12:13:47 (UTC-4)	198 m		2 m	0:00:06	1.2 kph	204° true
Trackpoint	S34.97226 W71.25048	10-07-2018 12:13:53 (UTC-4)	197 m		13 m	0:00:06	8 kph	232° true
Trackpoint	S34.97227 W71.25065	10-07-2018 12:13:59 (UTC-4)	195 m		16 m	0:00:06	9 kph	266° true
Trackpoint	S34.97219 W71.25076	10-07-2018 12:14:05 (UTC-4)	194 m		14 m	0:00:06	8 kph	310° true
Trackpoint	S34.97208 W71.25076	10-07-2018 12:14:11 (UTC-4)	192 m		12 m	0:00:06	7 kph	3° true
Trackpoint	S34.97197 W71.25076	10-07-2018 12:14:17 (UTC-4)	190 m		12 m	0:00:06	7 kph	357° true
Trackpoint	S34.97187 W71.25075	10-07-2018 12:14:23 (UTC-4)	190 m		11 m	0:00:06	7 kph	8° true
Trackpoint	S34.97180 W71.25073	10-07-2018 12:14:29 (UTC-4)	190 m		9 m	0:00:06	5 kph	8° true
Trackpoint	S34.97184 W71.25075	10-07-2018 12:14:35 (UTC-4)	189 m		5 m	0:00:06	3 kph	195° true
Trackpoint	S34.97188 W71.25076	10-07-2018 12:14:41 (UTC-4)	190 m		5 m	0:00:06	3 kph	194° true
Trackpoint	S34.97185 W71.25074	10-07-2018 12:14:47 (UTC-4)	189 m		4 m	0:00:06	2 kph	34° true
Trackpoint	S34.97175 W71.25074	10-07-2018 12:14:53 (UTC-4)	188 m		12 m	0:00:06	7 kph	358° true
Trackpoint	S34.97165 W71.25074	10-07-2018 12:14:59 (UTC-4)	187 m		11 m	0:00:06	7 kph	359° true
Trackpoint	S34.97155 W71.25073	10-07-2018 12:15:05 (UTC-4)	187 m		11 m	0:00:06	6 kph	6° true
Trackpoint	S34.97146 W71.25074	10-07-2018 12:15:11 (UTC-4)	187 m		11 m	0:00:06	7 kph	355° true
Trackpoint	S34.97142 W71.25072	10-07-2018 12:15:17 (UTC-4)	189 m		4 m	0:00:06	2 kph	24° true
Trackpoint	S34.97148 W71.25065	10-07-2018 12:15:23 (UTC-4)	190 m		9 m	0:00:06	5 kph	139° true
Trackpoint	S34.97148 W71.25056	10-07-2018 12:15:29 (UTC-4)	191 m		9 m	0:00:06	5 kph	90° true
Trackpoint	S34.97145 W71.25058	10-07-2018 12:15:35 (UTC-4)	189 m		4 m	0:00:06	3 kph	333° true
Trackpoint	S34.97145 W71.25058	10-07-2018 12:15:41 (UTC-4)	189 m		0 m	0:00:06	0.3 kph	8° true
Trackpoint	S34.97145 W71.25057	10-07-2018 12:15:47 (UTC-4)	189 m		1 m	0:00:06	0.5 kph	88° true
Trackpoint	S34.97145 W71.25057	10-07-2018 12:15:53 (UTC-4)	190 m		0 m	0:00:06	0.1 kph	81° true
Trackpoint	S34.97144 W71.25057	10-07-2018 12:15:59 (UTC-4)	190 m		0 m	0:00:06	0.0 kph	341° true
Trackpoint	S34.97144 W71.25057	10-07-2018 12:16:05 (UTC-4)	190 m		0 m	0:00:06	0.1 kph	276° true
Trackpoint	S34.97144 W71.25062	10-07-2018 12:16:11 (UTC-4)	189 m		4 m	0:00:06	3 kph	282° true
Trackpoint	S34.97138 W71.25070	10-07-2018 12:16:17 (UTC-4)	189 m		10 m	0:00:06	6 kph	313° true
Trackpoint	S34.97126 W71.25070	10-07-2018 12:16:23 (UTC-4)	188 m		13 m	0:00:06	8 kph	1° true
Trackpoint	S34.97114 W71.25071	10-07-2018 12:16:29 (UTC-4)	189 m		12 m	0:00:06	7 kph	356° true
Trackpoint	S34.97104 W71.25071	10-07-2018 12:16:35 (UTC-4)	189 m		11 m	0:00:06	7 kph	359° true
Trackpoint	S34.97094 W71.25070	10-07-2018 12:16:41 (UTC-4)	190 m		12 m	0:00:06	7 kph	3° true
Trackpoint	S34.97087 W71.25068	10-07-2018 12:16:47 (UTC-4)	190 m		8 m	0:00:06	5 kph	13° true
Trackpoint	S34.97085 W71.25067	10-07-2018 12:16:53 (UTC-4)	190 m		3 m	0:00:06	2 kph	21° true
Trackpoint	S34.97084 W71.25067	10-07-2018 12:16:59 (UTC-4)	190 m		0 m	0:00:06	0.2 kph	317° true
Trackpoint	S34.97084 W71.25068	10-07-2018 12:17:05 (UTC-4)	190 m		0 m	0:00:06	0.1 kph	266° true
Trackpoint	S34.97084 W71.25068	10-07-2018 12:17:11 (UTC-4)	190 m		0 m	0:00:06	0.1 kph	233° true
Trackpoint	S34.97085 W71.25068	10-07-2018 12:17:17 (UTC-4)	190 m		0 m	0:00:06	0.1 kph	252° true
Trackpoint	S34.97085 W71.25068	10-07-2018 12:17:23 (UTC-4)	190 m		0 m	0:00:06	0.1 kph	249° true
Trackpoint	S34.97085 W71.25068	10-07-2018 12:17:29 (UTC-4)	190 m		0 m	0:00:06	0.2 kph	235° true
Trackpoint	S34.97085 W71.25069	10-07-2018 12:17:35 (UTC-4)	190 m		0 m	0:00:06	0.1 kph	249° true
Trackpoint	S34.97085 W71.25069	10-07-2018 12:17:41 (UTC-4)	190 m		0 m	0:00:06	0.1 kph	252° true
Trackpoint	S34.97085 W71.25069	10-07-2018 12:17:47 (UTC-4)	190 m		0 m	0:00:06	0.1 kph	266° true
Trackpoint	S34.97085 W71.25069	10-07-2018 12:17:53 (UTC-4)	190 m		0 m	0:00:06	0.1 kph	301° true
Trackpoint	S34.97085 W71.25070	10-07-2018 12:17:59 (UTC-4)	190 m		1 m	0:00:06	0.3 kph	259° true
Trackpoint	S34.97077 W71.25072	10-07-2018 12:18:05 (UTC-4)	191 m		9 m	0:00:06	5 kph	349° true
Trackpoint	S34.97065 W71.25071	10-07-2018 12:18:11 (UTC-4)	191 m		13 m	0:00:06	8 kph	3° true
Trackpoint	S34.97061 W71.25081	10-07-2018 12:18:17 (UTC-4)	190 m		11 m	0:00:06	6 kph	298° true
Trackpoint	S34.97060 W71.25096	10-07-2018 12:18:23 (UTC-4)	190 m		14 m	0:00:06	8 kph	272° true
Trackpoint	S34.97065 W71.25110	10-07-2018 12:18:29 (UTC-4)	190 m		14 m	0:00:06	8 kph	250° true
Trackpoint	S34.97076 W71.25115	10-07-2018 12:18:35 (UTC-4)	190 m		13 m	0:00:06	8 kph	200° true
Trackpoint	S34.97077 W71.25116	10-07-2018 12:18:38 (UTC-4)	190 m		1 m	0:00:03	1.4 kph	210° true
Trackpoint	S34.97078 W71.25116	10-07-2018 12:18:44 (UTC-4)	190 m		1 m	0:00:06	0.7 kph	164° true
Trackpoint	S34.97087 W71.25114	10-07-2018 12:18:50 (UTC-4)	190 m		10 m	0:00:06	6 kph	169° true
Trackpoint	S34.97101 W71.25112	10-07-2018 12:18:56 (UTC-4)	190 m		15 m	0:00:06	9 kph	176° true
Trackpoint	S34.97113 W71.25108	10-07-2018 12:19:02 (UTC-4)	189 m		15 m	0:00:06	9 kph	164° true
Trackpoint	S34.97129 W71.25110	10-07-2018 12:19:08 (UTC-4)	187 m		18 m	0:00:06	11 kph	187° true
Trackpoint	S34.97146 W71.25113	10-07-2018 12:19:14 (UTC-4)	186 m		18 m	0:00:06	11 kph	187° true
Trackpoint	S34.97162 W71.25115	10-07-2018 12:19:20 (UTC-4)	185 m		18 m	0:00:06	11 kph	185° true
Trackpoint	S34.97178 W71.25113	10-07-2018 12:19:26 (UTC-4)	185 m		18 m	0:00:06	11 kph	174° true
Trackpoint	S34.97194 W71.25113	10-07-2018 12:19:32 (UTC-4)	186 m		17 m	0:00:06	10 kph	180° true
Trackpoint	S34.97210 W71.25110	10-07-2018 12:19:38 (UTC-4)	187 m		19 m	0:00:06	11 kph	173° true
Trackpoint	S34.97226 W71.25112	10-07-2018 12:19:44 (UTC-4)	188 m		17 m	0:00:06	10 kph	186° true
Trackpoint	S34.97240 W71.25110	10-07-2018 12:19:50 (UTC-4)	192 m		16 m	0:00:06	10 kph	174° true
Trackpoint	S34.97241 W71.25092	10-07-2018 12:19:56 (UTC-4)	196 m		17 m	0:00:06	10 kph	94° true
Trackpoint	S34.97242 W71.25074	10-07-2018 12:20:02 (UTC-4)	199 m		16 m	0:00:06	10 kph	94° true
Trackpoint	S34.97243 W71.25057	10-07-2018 12:20:08 (UTC-4)	200 m		15 m	0:00:06	9 kph	93° true
Trackpoint	S34.97244 W71.25041	10-07-2018 12:20:14 (UTC-4)	202 m		15 m	0:00:06	9 kph	96° true
Trackpoint	S34.97246 W71.25023	10-07-2018 12:20:20 (UTC-4)	202 m		16 m	0:00:06	9 kph	95° true
Trackpoint	S34.97247 W71.25009	10-07-2018 12:20:26 (UTC-4)	203 m		13 m	0:00:06	8 kph	97° true
Trackpoint	S34.97249 W71.24997	10-07-2018 12:20:32 (UTC-4)	202 m		12 m	0:00:06	7 kph	98° true
Trackpoint	S34.97250 W71.24980	10-07-2018 12:20:38 (UTC-4)	202 m		15 m	0:00:06	9 kph	95° true
Trackpoint	S34.97250 W71.24965	10-07-2018 12:20:44 (UTC-4)	203 m		14 m	0:00:06	9 kph	93° true
Trackpoint	S34.97252 W71.24948	10-07-2018 12:20:50 (UTC-4)	203 m		15 m	0:00:06	9 kph	97° true
Trackpoint	S34.97253 W71.24933	10-07-2018 12:20:56 (UTC-4)	203 m		14 m	0:00:06	9 kph	95° true
Trackpoint	S34.97253 W71.24929	10-07-2018 12:21:02 (UTC-4)	204 m		3 m	0:00:06	2 kph	100° true
Trackpoint	S34.97254 W71.24934	10-07-2018 12:21:08 (UTC-4)	203 m		4 m	0:00:06	2 kph	269° true
Trackpoint	S34.97255 W71.24945	10-07-2018 12:21:14 (UTC-4)	203 m		10 m	0:00:06	6 kph	263° true
Trackpoint	S34.97256 W71.24949	10-07-2018 12:21:20 (UTC-4)	203 m		4 m	0:00:06	2 kph	244° true
Trackpoint	S34.97256 W71.24949	10-07-2018 12:21:26 (UTC-4)	203 m		0 m	0:00:06	0.2 kph	321° true
Trackpoint	S34.97256 W71.24950	10-07-2018 12:21:32 (UTC-4)	203 m		0 m	0:00:06	0.1 kph	318° true
Trackpoint	S34.97256 W71.24950	10-07-2018 12:21:38 (UTC-4)	203 m		0 m	0:00:06	0.1 kph	305° true
Trackpoint	S34.97256 W71.24950	10-07-2018 12:21:44 (UTC-4)	203 m		0 m	0:00:06	0.2 kph	135° true
Trackpoint	S34.97253 W71.24947	10-07-2018 12:21:50 (UTC-4)	203 m		4 m	0:00:06	2 kph	33° true
Trackpoint	S34.97253 W71.24933	10-07-2018 12:21:56 (UTC-4)	204 m		13 m	0:00:06	8 kph	86° true
Trackpoint	S34.97254 W71.24919	10-07-2018 12:22:02 (UTC-4)	204 m		13 m	0:00:06	8 kph	97° true
Trackpoint	S34.97255 W71.24901	10-07-2018 12:22:08 (UTC-4)	204 m		16 m	0:00:06	10 kph	94° true
Trackpoint	S34.97254 W71.24885	10-07-2018 12:22:14 (UTC-4)	204 m		15 m	0:00:06	9 kph	84° true
Trackpoint	S34.97241 W71.24883	10-07-2018 12:22:20 (UTC-4)	204 m		15 m	0:00:06	9 kph	5° true
Trackpoint	S34.97226 W71.24881	10-07-2018 12:22:26 (UTC-4)	203 m		16 m	0:00:06	9 kph	6° true
Trackpoint	S34.97211 W71.24884	10-07-2018 12:22:32 (UTC-4)	203 m		17 m	0:00:06	10 kph	352° true
