Grid	Lat/Long hddd.ddddd°
Datum	South American '69

Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	Track actual: 08 JUL 2018 18:01	08-07-2018 18:01:34 (UTC-4)	13:50:30	1.2 km	0.1 kph	

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course

Trackpoint	S34.97724 W71.25652	08-07-2018 18:01:34 (UTC-4)	199 m
Trackpoint	S34.97724 W71.25652	08-07-2018 18:01:40 (UTC-4)	199 m			0 m	0:00:06	0.0 kph	315° true
Trackpoint	S34.97724 W71.25652	08-07-2018 18:01:46 (UTC-4)	199 m			0 m	0:00:06	0.0 kph	287° true
Trackpoint	S34.97724 W71.25652	08-07-2018 18:01:52 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	357° true
Trackpoint	S34.97724 W71.25652	08-07-2018 18:01:58 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	33° true
Trackpoint	S34.97723 W71.25652	08-07-2018 18:02:04 (UTC-4)	199 m			0 m	0:00:06	0.0 kph	22° true
Trackpoint	S34.97723 W71.25652	08-07-2018 18:02:10 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	305° true
Trackpoint	S34.97723 W71.25652	08-07-2018 18:02:16 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	280° true
Trackpoint	S34.97723 W71.25652	08-07-2018 18:02:22 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	283° true
Trackpoint	S34.97723 W71.25652	08-07-2018 18:02:28 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	90° true
Trackpoint	S34.97723 W71.25652	08-07-2018 18:02:34 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	126° true
Trackpoint	S34.97723 W71.25652	08-07-2018 18:02:40 (UTC-4)	199 m			0 m	0:00:06	0.0 kph	188° true
Trackpoint	S34.97723 W71.25652	08-07-2018 18:02:46 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	39° true
Trackpoint	S34.97723 W71.25652	08-07-2018 18:02:52 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	70° true
Trackpoint	S34.97723 W71.25652	08-07-2018 18:02:58 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	83° true
Trackpoint	S34.97723 W71.25652	08-07-2018 18:03:04 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	164° true
Trackpoint	S34.97724 W71.25652	08-07-2018 18:03:10 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	145° true
Trackpoint	S34.97724 W71.25652	08-07-2018 18:03:16 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	174° true
Trackpoint	S34.97724 W71.25652	08-07-2018 18:03:22 (UTC-4)	199 m			0 m	0:00:06	0.0 kph	292° true
Trackpoint	S34.97724 W71.25652	08-07-2018 18:03:28 (UTC-4)	199 m			0 m	0:00:06	0.0 kph	281° true
Trackpoint	S34.97724 W71.25652	08-07-2018 18:03:34 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	195° true
Trackpoint	S34.97724 W71.25652	08-07-2018 18:03:40 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	212° true
Trackpoint	S34.97724 W71.25652	08-07-2018 18:03:46 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	225° true
Trackpoint	S34.97724 W71.25652	08-07-2018 18:03:52 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	277° true
Trackpoint	S34.97724 W71.25652	08-07-2018 18:03:58 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	289° true
Trackpoint	S34.97724 W71.25653	08-07-2018 18:04:04 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	303° true
Trackpoint	S34.97724 W71.25653	08-07-2018 18:04:10 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	286° true
Trackpoint	S34.97724 W71.25653	08-07-2018 18:04:16 (UTC-4)	200 m			0 m	0:00:06	0.1 kph	238° true
Trackpoint	S34.97724 W71.25653	08-07-2018 18:04:22 (UTC-4)	200 m			0 m	0:00:06	0.1 kph	229° true
Trackpoint	S34.97724 W71.25653	08-07-2018 18:04:28 (UTC-4)	200 m			0 m	0:00:06	0.1 kph	299° true
Trackpoint	S34.97724 W71.25653	08-07-2018 18:04:34 (UTC-4)	200 m			0 m	0:00:06	0.1 kph	317° true
Trackpoint	S34.97724 W71.25654	08-07-2018 18:04:40 (UTC-4)	200 m			0 m	0:00:06	0.1 kph	289° true
Trackpoint	S34.97724 W71.25654	08-07-2018 18:04:46 (UTC-4)	200 m			0 m	0:00:06	0.1 kph	255° true
Trackpoint	S34.97724 W71.25654	08-07-2018 18:04:52 (UTC-4)	200 m			0 m	0:00:06	0.0 kph	306° true
