Grid	Lat/Long hddd.ddddd°
Datum	South American '69

Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	Track actual: 13 JUL 2018 11:31	13-07-2018 11:31:10 (UTC-4)	2:17:09	8.7 km	4 kph	

Header	Position	Time	Altitude	Depth	Leg Length	Leg Time	Leg Speed	Leg Course

Trackpoint	S34.96788 W71.23307	13-07-2018 11:31:10 (UTC-4)	211 m		0 m	0:00:06	0.2 kph	92° true
Trackpoint	S34.96788 W71.23307	13-07-2018 11:31:16 (UTC-4)	211 m		0 m	0:00:06	0.2 kph	101° true
Trackpoint	S34.96788 W71.23306	13-07-2018 11:31:22 (UTC-4)	211 m		1 m	0:00:06	0.5 kph	81° true
Trackpoint	S34.96788 W71.23305	13-07-2018 11:31:28 (UTC-4)	211 m		1 m	0:00:06	0.4 kph	83° true
Trackpoint	S34.96790 W71.23289	13-07-2018 11:31:34 (UTC-4)	210 m		15 m	0:00:06	9 kph	100° true
Trackpoint	S34.96793 W71.23271	13-07-2018 11:31:40 (UTC-4)	209 m		17 m	0:00:06	10 kph	100° true
Trackpoint	S34.96795 W71.23253	13-07-2018 11:31:46 (UTC-4)	209 m		16 m	0:00:06	10 kph	98° true
Trackpoint	S34.96811 W71.23253	13-07-2018 11:31:52 (UTC-4)	209 m		18 m	0:00:06	11 kph	178° true
Trackpoint	S34.96824 W71.23255	13-07-2018 11:31:57 (UTC-4)	210 m		15 m	0:00:05	11 kph	189° true
Trackpoint	S34.96824 W71.23255	13-07-2018 11:32:04 (UTC-4)	210 m		1 m	0:00:07	0.3 kph	359° true
Trackpoint	S34.96823 W71.23255	13-07-2018 11:32:10 (UTC-4)	210 m		1 m	0:00:06	0.4 kph	28° true
Trackpoint	S34.96829 W71.23255	13-07-2018 11:32:16 (UTC-4)	210 m		6 m	0:00:06	4 kph	180° true
Trackpoint	S34.96833 W71.23255	13-07-2018 11:32:22 (UTC-4)	211 m		4 m	0:00:06	3 kph	182° true
Trackpoint	S34.96834 W71.23256	13-07-2018 11:32:28 (UTC-4)	212 m		1 m	0:00:06	0.8 kph	211° true
Trackpoint	S34.96832 W71.23256	13-07-2018 11:32:34 (UTC-4)	212 m		2 m	0:00:06	1.0 kph	4° true
Trackpoint	S34.96833 W71.23255	13-07-2018 11:32:40 (UTC-4)	212 m		0 m	0:00:06	0.3 kph	130° true
Trackpoint	S34.96833 W71.23255	13-07-2018 11:32:46 (UTC-4)	213 m		0 m	0:00:06	0.1 kph	332° true
